postIdFinal,reason
32518764,length
6842892,length
13658337,tokens
32617685,length
34613945,length
48168375,length
60091583,length
49242942,tokens+length
51811768,tokens
29431543,length
19048731,length
45294268,tokens+length
15657023,length
25899951,tokens
25899951,tokens
14048939,length
42029150,length
57446461,length
15534063,length
27430861,tokens+length
27430861,length
10168115,tokens
58788316,tokens+length
17706586,length
19467294,length
52447250,tokens+length
54357546,tokens
15697903,length
53139521,length
14802260,length
45741007,tokens+length
30086515,length
34777198,tokens+length
48105468,length
8689278,length
49035511,tokens
3618631,length
42203858,length
10610249,length
25119253,length
58445039,tokens
21326053,length
52760906,tokens+length
26090152,tokens
40150072,length
11320250,length
7886471,length
16072630,length
3657497,tokens
10439903,length
22667116,tokens
51987081,length
20305690,tokens+length
6787454,tokens+length
40287974,tokens+length
48711077,length
58699722,tokens+length
35283356,tokens+length
35283356,tokens+length
21435300,tokens+length
64769661,length
28697837,length
47417995,length
36009945,length
33380526,tokens
15347477,length
32215332,tokens+length
49482620,tokens+length
19551132,length
34943829,length
38795820,length
29544147,tokens+length
24430911,length
21701498,length
21701498,length
16362632,tokens+length
51240834,length
22520793,length
38798533,length
26930347,tokens
15774590,length
44093222,length
38754946,length
35133902,length
41984334,length
46244647,length
28109715,length
45556538,tokens+length
31625671,length
50141079,length
22457940,tokens
36912610,length
64720644,tokens+length
44971936,length
4362553,tokens+length
47341934,length
55445989,tokens+length
46077257,length
14553579,length
28593343,length
36692765,length
20822602,length
35558961,length
23955142,length
47307779,length
31677989,length
8983543,length
38229959,length
8777497,length
55402071,tokens+length
28866259,length
50456391,length
3994352,length
27889800,tokens+length
42682761,length
51322431,length
35034438,tokens+length
39318923,length
17907396,length
31029111,tokens
50781325,length
38609993,tokens
62416309,length
47050550,length
49301531,tokens+length
46800486,length
52634660,tokens+length
58941615,length
11783738,length
21409938,length
18164675,length
20155323,length
35586610,length
17325690,length
32648068,length
54766184,length
33314925,tokens+length
44443251,length
22215129,length
27031620,length
53249698,length
61090118,length
61972825,length
30344449,length
19829168,tokens+length
50262748,tokens+length
48893132,length
22235602,length
32909374,tokens+length
57292327,length
42458011,length
42915425,length
33585723,length
59301165,length
39616069,length
41670459,length
41670459,length
9456008,length
40371155,tokens+length
10826717,length
55526634,length
59782000,tokens+length
44918105,length
30691615,length
22428836,length
59836220,length
7274531,tokens+length
11827077,length
18400255,tokens
15584361,length
53993012,length
39006967,length
16190645,length
9471075,tokens+length
26472059,length
39540184,length
12240079,length
56500085,tokens
51629915,length
41609399,length
29138994,tokens+length
63928720,length
33310670,length
64758834,length
63445351,tokens
54615402,tokens
41902196,length
12329868,length
55988030,length
50534865,length
50825559,length
41669315,tokens+length
43368588,length
54816425,length
31251239,length
29062774,length
23728019,tokens
33288679,length
45431256,length
35181211,length
29666036,length
29046343,tokens+length
54530697,length
37282368,length
10084229,length
36870929,length
20326823,length
54233046,length
59412172,tokens+length
51395404,length
52377905,length
28096471,length
49000166,length
3219416,length
35241111,tokens
56291321,length
24544235,length
32169994,tokens+length
32136075,length
49687689,tokens+length
15079538,length
60230171,length
13432465,length
36242214,length
33563760,length
33510704,length
51868037,tokens+length
3590029,length
14382833,length
61120176,length
56789354,length
55215495,tokens
41300733,length
41300733,length
11254694,length
51243658,length
47109350,length
56715214,length
56823415,tokens+length
49362373,tokens+length
59277860,tokens
24754717,length
65096363,length
51309859,tokens+length
14559461,length
11063630,length
42901189,tokens+length
54572913,tokens+length
2843052,length
31939218,length
61276966,tokens
26079026,length
42776211,length
1946023,length
32732357,length
58554096,tokens
32037458,length
50607474,tokens+length
51765313,tokens
36418437,length
35235131,length
37106643,tokens+length
28685413,length
28398550,tokens
52666416,length
8452544,length
49426884,length
31281098,tokens
23100955,length
12455105,length
36971341,tokens+length
48282756,length
48619577,length
31779022,length
29344672,length
31844683,length
50667086,length
50882437,length
52459991,length
33034720,length
33034720,length
42700512,length
27240889,length
23149765,tokens+length
4127394,length
52978590,length
41561410,length
54614152,tokens+length
49133527,length
30304688,length
34522627,length
21679243,length
33280682,tokens+length
25544593,length
44332383,tokens+length
37462679,tokens+length
2036672,length
19454444,length
62205609,tokens+length
46374163,tokens
17615365,length
56350946,length
9934412,length
50280227,length
26338547,length
26338547,length
61788410,tokens+length
14635133,length
54288847,length
48042393,length
49889535,length
8542772,length
36803330,length
23612065,length
49816919,tokens+length
29720177,length
14587289,length
17237717,length
40872828,length
22022440,length
27094523,length
14203953,length
50821417,length
33448070,length
7601154,length
28463179,length
27831900,length
50594463,length
27988878,length
64243269,length
23591360,length
38800052,length
29665421,length
16292251,length
29201799,length
35803929,tokens
33023815,length
34234359,length
64519799,length
34501048,length
40484306,length
28419972,tokens
35441029,length
57674388,tokens+length
22003090,length
44330898,length
30216140,length
6571106,length
22527661,length
50558396,length
53029052,length
31659367,length
37644857,tokens+length
25166462,tokens+length
1939933,length
54980693,length
42523151,tokens+length
42523151,length
18438222,length
43003635,length
7861956,length
23509267,length
49469204,tokens
33684366,length
27273945,tokens
58034979,tokens
57388740,length
54012076,length
53232820,length
38496992,length
18636535,length
33363631,length
46068017,tokens
52220707,length
31569032,length
20834113,length
40630234,length
59617795,tokens+length
45688922,length
47782820,tokens+length
47782820,tokens+length
15365851,length
54045199,tokens
42391022,length
22983787,tokens+length
27759170,length
59812833,tokens+length
38569269,length
40914593,tokens+length
16770853,length
27999860,length
18998567,length
32642085,length
55015457,length
45236291,length
36219235,length
50752105,tokens
22189615,length
30180639,length
64024694,length
17529124,length
61435324,length
61435324,length
44899193,length
37188923,tokens+length
36686631,length
30086005,length
37908144,length
41033683,tokens+length
21996203,tokens+length
43186303,length
18502904,length
13655850,length
10170137,length
55278782,tokens
64543461,length
36526080,length
42451691,length
43123303,length
21521751,length
49525299,length
12862542,length
7212369,length
7212369,length
42003591,length
64767848,length
32224281,length
34795049,tokens
47108390,length
44461310,length
18624457,length
4004085,length
45902820,tokens+length
6403488,length
35038300,length
41167024,length
47671680,length
10263860,tokens+length
39084824,length
49169802,length
55282721,length
44009062,tokens+length
56308447,tokens+length
53024496,length
13835390,length
17519753,length
30710022,length
13069161,tokens
16572951,length
59544533,length
12914885,tokens+length
34951589,length
30908843,length
20954387,length
60701011,length
14129184,length
42497953,length
48033674,length
40256489,tokens+length
43816353,length
47544932,length
57946730,tokens+length
59603068,tokens+length
52356137,tokens+length
61995465,length
38713001,length
30932671,length
33101778,length
4774803,length
3393428,tokens+length
39474648,length
39682110,length
35365002,length
25453243,tokens+length
20032003,length
40496174,tokens+length
21617615,length
9427488,length
7562541,tokens
20683034,length
42100101,tokens
4877539,length
15404870,length
15404870,length
28871686,length
