postIdFinal,reason
51625675,length
26126644,length
65160233,length
43324005,length
47844864,length
62158127,length
26400043,length
46498450,length
62618769,tokens+length
21967787,tokens+length
2023577,length
20695029,length
12521127,tokens+length
37493855,length
49614427,tokens+length
65131108,length
13809726,length
51717920,tokens
53976903,tokens+length
63821756,tokens+length
30004649,length
30004649,length
34400519,tokens+length
13379846,length
13033060,length
43484607,length
60012521,length
41437194,length
19459744,length
52636483,tokens+length
29821308,length
58589376,length
60257374,tokens+length
58857534,length
49887707,tokens
49887707,length
44343678,tokens+length
23458055,length
61110766,tokens
54153008,tokens+length
41610256,tokens+length
61526347,length
32965217,length
37910557,length
46320468,length
41404618,length
36480705,length
36155590,length
26942843,length
15600014,length
45925169,tokens+length
50523482,length
55941776,tokens+length
58455187,length
58455187,length
30718274,length
45291245,length
44680262,length
51999199,length
62962941,tokens+length
35167778,length
32876376,length
57104815,length
57104815,length
47086810,length
61645342,length
6866696,length
21352409,tokens+length
63321852,tokens+length
36983974,tokens
36983974,tokens+length
16559041,length
49279131,length
39600233,length
60395330,length
53315679,tokens+length
20111907,tokens+length
44023298,length
9853227,length
56152309,tokens+length
25305788,tokens+length
37687192,length
26916827,length
44729862,length
28197071,length
58303175,length
57561004,length
57561004,length
